,1,2,3,4,5
old,272,225,353,677,2512
never,298,0,0,0,0
long,241,186,327,563,1392
new,286,0,0,0,0
good,392,368,591,1402,3058
much,228,234,370,606,2079
back,460,212,0,0,0
bad,222,0,0,0,0
high,0,0,232,0,0
however,0,0,265,0,0
need,230,157,252,566,1645
receive,222,0,0,0,0
keep,0,196,261,479,1695
cute,0,0,0,0,1479
perfect,0,0,0,0,1600
star,0,0,0,440,0
hot,0,187,0,0,0
easy,0,0,0,832,3261
dry,386,326,535,1108,3578
n't,1509,1102,1594,2445,5932
really,237,268,417,784,2209
want,255,157,274,437,0
love,0,159,359,1184,8867
great,221,237,388,1405,5797
nice,0,0,0,558,1405
small,0,165,279,549,0
like,642,602,984,1851,4186
best,0,0,0,0,1448
even,401,208,233,0,0
first,355,223,0,0,1363
still,228,0,255,506,0
set,0,163,272,607,1378
well,285,302,531,1019,2932
